match_id,home_opponent_strength,away_opponent_strength,home_team_strength,away_team_strength
1e8382bc0315a97601425a30,,,,
944f52cff6fc2c42e34b0e7f,,,,
755fe32cc77e59f63a38a5ee,-0.75,3.75,3.75,-0.75
b9124fa4aab2030faee2de11,,,,
275dae433ec6d14fe00661e8,1.0,1.0,1.0,1.0
4d20322acf721685e93eb60e,,,,
ca350369458de3f695bc7667,1.0,1.0,1.0,1.0
8f1ba771ef6ed45101dc835c,2.25,3.75,3.75,2.25
577088e0a4f42f534571a1e8,2.375,1.625,1.625,2.375
0cb10cb85cb4ba0d864044e4,,,,
51076782a9d2c7fec820a5e2,,,,
b6b3a5444cc299e3a63f122e,,-0.75,-0.75,
d88b2e29d23229e00b82a6a5,,0.25,0.25,
1bbb5395ca37433f8c3107f8,,,,
46482d265d9e7aa7874dfb44,,,,
5a881176df7e8b27d44cadb7,,,,
66aa447fe4301f54751d2c37,,,,
242477b779de254f60153d8d,,,,
596ddfe08f2f2ec47f86219b,,,,
e3ae55130895356783823c04,,,,
094e0e6dffdaebdf979803f2,,,,
6d7faac10bf81e751f063c2f,,,,
b056d30f27422c7d0ff994b9,,,,
c35a07297001c97f36ee0d22,-0.25,,,-0.25
060ae32a91ecf82cf25058b6,,1.5,1.5,
50cefa98d45372ebe8af0fd6,,,,
ce60ed00b8aa6ec220f2cfe7,,,,
dcce483c14c93c8a7f1ece1a,,,,
51e096ab1a872a293cdf6c26,,,,
9a04b9e4f3e23b0a24ecb55c,,,,
b90094e4c4c9700777ece5ed,,,,
1c06fa7b265bcfdca7fb1503,-0.5,3.5,3.5,-0.5
27fe5d86290b5c2e21d8c996,1.4166666666666663,-0.75,-0.75,1.4166666666666663
d4871c9362e468971c45c4f4,1.25,-0.25,-0.25,1.25
d74cc568e7501327a01d187a,1.0,1.0,1.0,1.0
08f4b791dd7e875ce3f16358,3.25,-0.25,-0.25,3.25
c34d3fe3714a7c8b9f5cc716,3.75,-0.75,-0.75,3.75
ef6d9832cd59b1cd3985e41c,-0.25,3.25,3.25,-0.25
0790599828df13bda2bc2d09,3.75,-0.75,-0.75,3.75
1665ac18a0bac7438987488a,-0.75,3.75,3.75,-0.75
8964d1ea9a8a9fa014f5feb9,3.5,-0.5,-0.5,3.5
e50486d77341709c4a41e206,3.25,-0.25,-0.25,3.25
95763819827966399501a9a0,1.0,1.0,1.0,1.0
9ddd33f10ab0903b153ac310,-0.25,1.5,1.5,-0.25
9e8e781de7ba9bd35eeb4a94,3.25,-0.25,-0.25,3.25
c1362c856d12499c267e877c,3.25,2.083333333333333,2.083333333333333,3.25
144994fb352dcbcd6a4392c0,-0.5,3.5,3.5,-0.5
63e36198466a4a1e3be2f026,3.25,-0.25,-0.25,3.25
bdd041998c598b64eb8fed00,2.25,-0.75,-0.75,2.25
c6432cccfc507b9b39eda410,3.75,-0.75,-0.75,3.75
399528446bf575764cde4162,3.25,-0.25,-0.25,3.25
46a7b67d3221c63cfeb2348e,3.25,-0.25,-0.25,3.25
d3b811bbcec8d5cd3cff17a8,3.5,-0.5,-0.5,3.5
204951c30db5e4a4be953b7f,,,,
3eeef99123130404044b4b98,,,,
490e76775782636ddb970ce4,,,,
835ad198d809c30b756bdaa7,0.125,,,0.125
c5856a0e6a8c13217344e85d,,,,
d971410550e4d9c9f478d5fd,1.5,,,1.5
15ba52269f9c42bd5d924408,,,,
2a078b36652694fbcb50753f,,,,
2dec60b3e3847de01c365762,,,,
3c013875165a01faabfcd2aa,1.375,,,1.375
9d56cbb81f2015cfec08ade9,,,,
aad9aaf9cc5a6f92dc26d9ec,,,,
c231903db2744860a2b184a4,2.1666666666666665,,,2.1666666666666665
1681daa84d733377bfbffc3d,,,,
992ec0d8ee4f4ea7bbda6486,,,,
df8edd8e0006faab19652561,,,,
51668a6bdd0b2fea0fa791a9,1.0,1.9375,1.9375,1.0
73609705339089d5c77a8d94,-0.5,-0.5,-0.5,-0.5
a1924fe2865e40e1e4ecf16f,1.0,3.25,3.25,1.0
c83ff8af19c388a8338ad28e,-0.5,-0.75,-0.75,-0.5
ed73675015ffdaa0ed358485,-0.25,0.4166666666666666,0.4166666666666666,-0.25
ed8cfe5bf9c0f2baf21145a9,3.5,2.5,2.5,3.5
04fcba5e1bad440b2d3b10ab,-0.25,3.75,3.75,-0.25
28220bb947811de221d016e5,3.25,0.6666666666666667,0.6666666666666667,3.25
452cdcff04472b45c090a9fe,3.75,-0.25,-0.25,3.75
88550313443b7f8ad0d9d892,3.5,-0.25,-0.25,3.5
8e2f5e6346c622bad20b7c27,3.25,-0.5,-0.5,3.25
8e45fae3fd2e319a91876baa,-0.75,3.25,3.25,-0.75
f3c1d5f6cdbce02d06ea8855,-0.25,1.0,1.0,-0.25
b28cb235c7667ee5e10f6060,-0.25,3.25,3.25,-0.25
d06e1e9ba7f274806f7ef505,-0.25,3.25,3.25,-0.25
d91a15e73114809112cdec9a,3.75,3.5,3.5,3.75
0261991354b3e3c0670661cb,1.5,1.375,1.375,1.5
555348aa9c40f4f5bb02f828,2.125,2.2,2.2,2.125
80e70919dafa9f7d50092a74,1.5,0.625,0.625,1.5
b167f522a023200368c86c72,1.5,1.625,1.625,1.5
1bbcd3b63d1aec30b729a709,1.375,2.375,2.375,1.375
678e93ff5a8304f5b4b46def,2.25,-0.5,-0.5,2.25
7a3e132fd068e80efa361024,-0.25,-0.25,-0.25,-0.25
c7ff7cf4dddeb6e5c867e509,2.7,1.5,1.5,2.7
eb55772131ece2158bbdab50,0.375,-0.5,-0.5,0.375
49c5d5c4d0415c134deedcf8,1.25,3.25,3.25,1.25
4dff58cd05af9457ff51f7db,0.375,-0.25,-0.25,0.375
53131e57e7704c5fc93404b8,-0.5,-0.75,-0.75,-0.5
7fe8036e952df2ac1147e564,1.75,1.75,1.75,1.75
829e6d131b77dba07fe350ff,3.5,3.75,3.75,3.5
dad5b5ccbdc8dc0a690ba0eb,-0.5,1.5,1.5,-0.5
e327e57c5b1e27db193c7035,3.25,3.25,3.25,3.25
03094565cabb78112950e9f1,0.9166666666666666,-0.5833333333333334,-0.5833333333333334,0.9166666666666666
4b2cbabbe47a7741e8b45ec0,1.6,0.3333333333333333,0.3333333333333333,1.6
79cc7785a89c3f9cc4b60310,1.9166666666666667,-0.5833333333333334,-0.5833333333333334,1.9166666666666667
8022a110e69fcbe9c7392ad8,3.25,0.9166666666666666,0.9166666666666666,3.25
ae10661510bdc2cbb2c2bf2d,1.5,2.083333333333333,2.083333333333333,1.5
ecd28aaa420037cba6e275d9,3.9166666666666665,0.75,0.75,3.9166666666666665
2afe3d5102d728c5a1b38b5f,1.3333333333333333,2.666666666666667,2.666666666666667,1.3333333333333333
52031a5e91a74b7f21c30729,1.75,1.0833333333333333,1.0833333333333333,1.75
6908fa48852acce82533f54c,2.083333333333333,-0.25,-0.25,2.083333333333333
6fe151962ee0dbb6532960f0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
76e2c25104e7d002576d1ca5,2.0,2.083333333333333,2.083333333333333,2.0
9469779e139272750b4c6ba2,2.0,1.3333333333333333,1.3333333333333333,2.0
95149fdb05ddb1911905f93c,2.7916666666666665,2.25,2.25,2.7916666666666665
a87ea75ee1cc33dceeae577f,0.9166666666666666,1.0,1.0,0.9166666666666666
c7abf3361b3cf4e6fa8dfb26,2.0,0.0,0.0,2.0
ca4bd90579bb7ebcb5bad994,1.7000000000000002,-0.4166666666666667,-0.4166666666666667,1.7000000000000002
4d3f60eb886383622462bb26,-0.125,2.4375,2.4375,-0.125
64bfc3c1d3a668a702ae247f,1.375,0.5625,0.5625,1.375
67705e5b0c2b5178de3c7060,1.625,2.4375,2.4375,1.625
cdc680c72afd6f912da67099,1.9375,0.875,0.875,1.9375
e6eb619ef66f14ff95b0f344,1.4375,1.9583333333333333,1.9583333333333333,1.4375
e7feb199fc4699f409817bf3,0.875,1.8125,1.8125,0.875
17af4ec30f46543837d07087,-0.5,1.5,1.5,-0.5
180147638b88c18f3342b53c,0.5625,-0.3125,-0.3125,0.5625
48265069075e577fe7127bc2,2.75,2.25,2.25,2.75
496c521f3a634e43edfc56d2,-0.375,1.8125,1.8125,-0.375
4d802c7f41e815459197f81f,1.0,2.083333333333333,2.083333333333333,1.0
71e172e05ea090e598883709,0.9375,2.5357142857142856,2.5357142857142856,0.9375
a1bee58555c452036d63aa6b,2.4375,3.3125,3.3125,2.4375
4947a1f7a289152424dd709c,1.9375,-0.1875,-0.1875,1.9375
4c677ef479c3f7bec57efbb7,2.1785714285714284,1.25,1.25,2.1785714285714284
6a0b7a9bf60a8fe3f16bb86e,1.625,-0.0625,-0.0625,1.625
256475c9b2ff3dd8286f5d0e,1.5,0.95,0.95,1.5
456641ae1ae3d007a42ddd6a,0.7000000000000001,0.95,0.95,0.7000000000000001
832b29018f38775342af5f4b,2.75,2.25,2.25,2.75
af52a8f7223858befbedf937,1.15,2.3125,2.3125,1.15
b61936eca432f9a1e650f3bd,2.15,1.2,1.2,2.15
d89b096608b8c786bc8c9cc2,-0.3,0.75,0.75,-0.3
02b1ada098399b455d062329,-0.25,2.75,2.75,-0.25
07c8f31978c792b54c02e4a9,-0.0499999999999999,2.6,2.6,-0.0499999999999999
3297bdf67b8a21f1b450043f,0.3,2.0,2.0,0.3
5f8fccf5b8e9014183e36f4b,1.1,2.6,2.6,1.1
933e93f6f6aaaac908b217d4,0.65,2.6,2.6,0.65
ccf045c8b26e4d4aef1392f6,2.25,0.5,0.5,2.25
0703241950118a7dbfb0a00d,0.9,2.15,2.15,0.9
334f601858ff1c703debfbf3,0.3999999999999999,1.35,1.35,0.3999999999999999
380f3c43b5fe000c18cb8333,1.35,1.8214285714285716,1.8214285714285716,1.35
9840d5df16de91b99a7afd4b,1.75,0.6000000000000001,0.6000000000000001,1.75
73ecc1f8d71215c41215fabc,,1.625,1.625,
8642078bd90c905de9427352,3.875,1.0,1.0,3.875
ab29d49c7db53168e7cc83e1,,1.0,1.0,
29d61699bdeb2ad9454914ac,2.75,2.125,2.125,2.75
4dfc7ebf0b0328ffb4c41629,,0.75,0.75,
6a3d8158b5a832f11f06ee2f,,2.125,2.125,
8c6c6b325027485028a2b13e,3.375,1.625,1.625,3.375
d7a419758605f9f0d20c6211,,1.5625,1.5625,
de10376fab2a8dd65332426b,1.4375,2.375,2.375,1.4375
f6a3ece70186d863e2b28798,3.25,2.125,2.125,3.25
9a76c660d87c0f5ef87fc688,3.625,1.625,1.625,3.625
a6e311166031fde33303d3ed,,1.0,1.0,
b91b20a2264428b651742a2d,,1.5,1.5,
c0f8151ee53b022819fc1d3f,,3.25,3.25,
e6e830e0c2ca17471016c98b,,1.75,1.75,
f10ef7ea5764f1958b7a7155,3.625,3.375,3.375,3.625
03d97390ba672f465f7d58ca,1.0,1.0,1.0,1.0
8ee3ced45e997fbfdde2ee9a,2.1666666666666665,-0.25,-0.25,2.1666666666666665
a9ad5c41993ea06ddfaefc41,1.0,2.916666666666667,2.916666666666667,1.0
678c7e6314fda8b66d5b8320,0.8125,1.0,1.0,0.8125
a4e7ed2f97a03d3514ac85eb,1.9,-0.25,-0.25,1.9
aa28a39b6445c8bd41d63370,1.3333333333333333,2.875,2.875,1.3333333333333333
b24d9edcf8846a17eb25e419,2.5,-0.25,-0.25,2.5
d5abad38883f2718048ed3df,2.583333333333333,2.0,2.0,2.583333333333333
e792024f6968a4aa0a729095,1.0,3.333333333333333,3.333333333333333,1.0
fd626f12b90b38b7124e792a,1.9166666666666667,1.35,1.35,1.9166666666666667
187aa0b961ae9377e4e61498,2.083333333333333,-0.25,-0.25,2.083333333333333
3cc564556b4bdbb63d4dea98,2.5,1.0,1.0,2.5
655dd8d8ef9e8eba494e0ed4,3.333333333333333,2.333333333333333,2.333333333333333,3.333333333333333
89d4bdd1222c93024c6a81a7,1.0833333333333333,3.25,3.25,1.0833333333333333
cd2d80051062c5c6c52911ec,1.0,3.5,3.5,1.0
fb4a2bdf1973712447faa229,1.5499999999999998,-0.75,-0.75,1.5499999999999998
1ddef24fe247b7778784e2f6,2.75,2.708333333333333,2.708333333333333,2.75
286fd317399181d2eabff1b9,2.4375,1.75,1.75,2.4375
54a8b23b3459d10d533b80b7,3.3125,0.85,0.85,3.3125
571e034673b0b3ed22650511,1.5625,2.75,2.75,1.5625
6e83b1c972d1dfe661806f1f,2.416666666666667,2.1666666666666665,2.1666666666666665,2.416666666666667
06be5a1d57093dfd517dd50e,1.7916666666666667,1.0416666666666667,1.0416666666666667,1.7916666666666667
170d806e27a295016f7b47db,1.8125,2.1875,2.1875,1.8125
3605359abf5b3aada5f968b8,1.5625,1.875,1.875,1.5625
749b75fe3ab542efd85c3f2a,1.5416666666666667,1.75,1.75,1.5416666666666667
b840bf310eaa16746e53b85b,2.75,2.25,2.25,2.75
d35c554e1e75ef09dc375c2a,2.916666666666667,1.125,1.125,2.916666666666667
73dd364eee95b4dce1a28e64,1.0,2.125,2.125,1.0
76aa328f22cac326bea5b98d,2.125,2.5,2.5,2.125
8b0aeea3dd9285588b38152a,2.125,1.7083333333333337,1.7083333333333337,2.125
f640af81c4138626b32ae7d6,1.9583333333333333,2.4166666666666665,2.4166666666666665,1.9583333333333333
2ad3830307628800ef808e4e,1.6428571428571428,2.2777777777777777,2.2777777777777777,1.6428571428571428
5850613fc96d8bdd34d93401,1.2916666666666663,2.55,2.55,1.2916666666666663
898c03ebdc3dfff861f0e650,2.85,1.2,1.2,2.85
9c44b9bc2f3fee8c5caedce0,1.8214285714285716,2.5,2.5,1.8214285714285716
a08469fc4029dd3d375201e8,2.464285714285714,2.5,2.5,2.464285714285714
17164bac3dc74035d6e588a3,1.3928571428571428,1.4642857142857144,1.4642857142857144,1.3928571428571428
2dfa108818384c5f92ef637a,0.8928571428571429,2.975,2.975,0.8928571428571429
31ced6b04f7a3b161615ee9a,2.0625,1.4166666666666663,1.4166666666666663,2.0625
adc2ee54a9a38f75debaeb12,2.25,1.2857142857142858,1.2857142857142858,2.25
